0,3897018.0,3882417.0,4839554.0,4755743.0,4298651.0,6141126.0,6484969;0,7182872.0,2955741.0,3235572.0,286858.0,5645358.0,6028013.0,6032199;0,3528388.0,8649633.0,594176.0,444899.0,4203188.0,6400326.0,4215037;0,6016049.0,7331971.0,9598438.0,3252886.0,5100265.0,5532835.0,5432957;
0,3897018.0,3882417.0,4839554.0,4920269.0,4025043.0,6120167.0,5779297;0,7182872.0,2955741.0,3235572.0,3018322.0,5359051.0,547755.0,6409901;0,3528388.0,8649633.0,594176.0,444899.0,4203188.0,6400326.0,4215037;0,6016049.0,7331971.0,9598438.0,3953606.0,4273689.0,6284029.0,5551392;
0,3897018.0,3882417.0,4839554.0,4920269.0,4025043.0,6120167.0,5779297;0,7182872.0,2955741.0,3235572.0,3739998.0,5822572.0,5805274.0,5758611;0,3528388.0,8649633.0,594176.0,4944122.0,4666759.0,6799273.0,460702;0,6016049.0,7331971.0,9598438.0,4112644.0,4043858.0,6469966.0,5817971;
0,3897018.0,3882417.0,4839554.0,5012618.0,428804.0,6027476.0,5795477;0,7182872.0,2955741.0,3235572.0,3739998.0,5822572.0,5805274.0,5758611;0,3528388.0,8649633.0,594176.0,5292419.0,4704709.0,7302691.0,4478738;0,6016049.0,7331971.0,9598438.0,4060787.0,3961651.0,6551093.0,5681334;
0,3897018.0,3882417.0,4839554.0,5051904.0,4447607.0,6099458.0,5645298;0,7182872.0,2955741.0,3235572.0,3739998.0,5822572.0,5805274.0,5758611;0,3528388.0,8649633.0,594176.0,5647666.0,5064842.0,7455152.0,4434014;0,6016049.0,7331971.0,9598438.0,4325403.0,3993612.0,647853.0,613028;
0,3897018.0,3882417.0,4839554.0,5051904.0,4447607.0,6099458.0,5645298;0,7182872.0,2955741.0,3235572.0,3739998.0,5822572.0,5805274.0,5758611;0,3528388.0,8649633.0,594176.0,6035736.0,5210699.0,7514603.0,5330896;0,6016049.0,7331971.0,9598438.0,4325403.0,3993612.0,647853.0,613028;
0,3897018.0,3882417.0,4839554.0,5051904.0,4447607.0,6099458.0,5645298;0,7182872.0,2955741.0,3235572.0,39718.0,618073.0,5732546.0,5410879;0,3528388.0,8649633.0,594176.0,6070617.0,5687655.0,7620521.0,5012693;0,6016049.0,7331971.0,9598438.0,4325403.0,3993612.0,647853.0,613028;
0,3897018.0,3882417.0,4839554.0,5293981.0,4449875.0,6054949.0,5581574;0,7182872.0,2955741.0,3235572.0,4567659.0,5780408.0,5286526.0,6051126;0,3528388.0,8649633.0,594176.0,6342751.0,5544469.0,7887237.0,5097781;0,6016049.0,7331971.0,9598438.0,4532333.0,3636972.0,6624314.0,6590191;
0,3897018.0,3882417.0,4839554.0,54422.0,4553913.0,5988571.0,5215145;0,7182872.0,2955741.0,3235572.0,4823358.0,5797758.0,5173153.0,5705426;0,3528388.0,8649633.0,594176.0,6523819.0,5469333.0,8121887.0,4922701;0,6016049.0,7331971.0,9598438.0,4562998.0,3603701.0,664545.0,6563683;
0,3897018.0,3882417.0,4839554.0,54422.0,4553913.0,5988571.0,5215145;0,7182872.0,2955741.0,3235572.0,5086478.0,6302543.0,5811392.0,5120994;0,3528388.0,8649633.0,594176.0,6523819.0,5469333.0,8121887.0,4922701;0,6016049.0,7331971.0,9598438.0,4562998.0,3603701.0,664545.0,6563683;
0,3897018.0,3882417.0,4839554.0,5835749.0,4369886.0,6036496.0,5414906;0,7182872.0,2955741.0,3235572.0,5118989.0,6410248.0,5955089.0,501839;0,3528388.0,8649633.0,594176.0,6523819.0,5469333.0,8121887.0,4922701;0,6016049.0,7331971.0,9598438.0,4562998.0,3603701.0,664545.0,6563683;
0,3897018.0,3882417.0,4839554.0,5835749.0,4369886.0,6036496.0,5414906;0,7182872.0,2955741.0,3235572.0,5118989.0,6410248.0,5955089.0,501839;0,3528388.0,8649633.0,594176.0,6523819.0,5469333.0,8121887.0,4922701;0,6016049.0,7331971.0,9598438.0,47072.0,3639952.0,6566527.0,6870151;
0,3897018.0,3882417.0,4839554.0,6182718.0,4643259.0,5982785.0,5284522;0,7182872.0,2955741.0,3235572.0,5333518.0,6724023.0,6337859.0,4603772;0,3528388.0,8649633.0,594176.0,6536524.0,5468543.0,8171108.0,4858146;0,6016049.0,7331971.0,9598438.0,47072.0,3639952.0,6566527.0,6870151;
0,3897018.0,3882417.0,4839554.0,6405053.0,488514.0,594888.0,5162315;0,7182872.0,2955741.0,3235572.0,5333518.0,6724023.0,6337859.0,4603772;0,3528388.0,8649633.0,594176.0,6579364.0,5629131.0,8314146.0,4849378;0,6016049.0,7331971.0,9598438.0,4884865.0,3003674.0,7212817.0,6953242;
0,3897018.0,3882417.0,4839554.0,6372674.0,4972673.0,5913448.0,5031842;0,7182872.0,2955741.0,3235572.0,5333518.0,6724023.0,6337859.0,4603772;0,3528388.0,8649633.0,594176.0,6457092.0,5513413.0,8129485.0,4720684;0,6016049.0,7331971.0,9598438.0,483634.0,3087274.0,7109713.0,6838698;
