0,7735144.0,9847288.0,2812696.0,3855637.0,3763274.0,01988673.0,4868767.0,1333333;0,8234088.0,5370285.0,03304124.0,6321119.0,6477415.0,6678334.0,6184816.0,1666667;0,1616708.0,3838707.0,6013719.0,6825643.0,6534305.0,5918485.0,731026.0,1;0,3127717.0,3883206.0,7411503.0,6103951.0,8488927.0,7623413.0,6403055.0,1333333;0,3293703.0,2611155.0,2047645.0.NaN.NaN.NaN.0;0,3576643.0,07723296.0,4926429.0,5471397.0,4987938.0,8017259.0,4748677.0,4;0,1040888.0,4690457.0,8270912.0,5242646.0,5626258.0,4932446.0,245346.0,2666667;0,335555.0,3544998.0,8247401.0,6504057.0,5518928.0,2248057.0,3668114.0,3666667;0,2588376.0,6508247.0,221905.0,6924702.0,5644491.0,7359742.0,5708505.0,3333333;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,3920004.0,3682414.0,0363088.0,4899143.0,2;0,8234088.0,5370285.0,03304124.0,6411263.0,6481262.0,6789145.0,6032993.0,2666667;0,1616708.0,3838707.0,6013719.0,6810697.0,6525813.0,6120596.0,7049638.0,2333333;0,3127717.0,3883206.0,7411503.0,633472.0,8133591.0,7296462.0,6070104.0,2333333;0,3293703.0,2611155.0,2047645.0,6190915.0,648401.0,6868296.0,5949705.0,03333334;0,3576643.0,07723296.0,4926429.0,5542265.0,4931667.0,7944356.0,4749842.0,4666667;0,1040888.0,4690457.0,8270912.0,5320758.0,6032867.0,4840113.0,2692386.0,4666667;0,335555.0,3544998.0,8247401.0,6628686.0,5634094.0,2557372.0,388702.0,6;0,2588376.0,6508247.0,221905.0,6939902.0,5529146.0,7275505.0,5808121.0,4666667;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,3849778.0,3711694.0,02613977.0,509131.0,5;0,8234088.0,5370285.0,03304124.0,6468542.0,6513575.0,6825214.0,5971573.0,7333333;0,1616708.0,3838707.0,6013719.0,6781613.0,6519694.0,6325252.0,6775337.0,6666667;0,3127717.0,3883206.0,7411503.0,6320264.0,8283557.0,7286202.0,6176465.0,6;0,3293703.0,2611155.0,2047645.0,6241007.0,6375571.0,676728.0,5990959.0,1666667;0,3576643.0,07723296.0,4926429.0,5601325.0,4826894.0,7910219.0,4951668.0,6333333;0,1040888.0,4690457.0,8270912.0,5379902.0,6297621.0,4884392.0,3104329.0,7666667;0,335555.0,3544998.0,8247401.0,675418.0,5684839.0,2723686.0,3972059.0,8333333;0,2588376.0,6508247.0,221905.0,7010258.0,5592453.0,7180508.0,5720382.0,9;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,3856267.0,3737136.0,02519834.0,5047891.0,6;0,8234088.0,5370285.0,03304124.0,6473124.0,652276.0,6816968.0,5964921.0,8666667;0,1616708.0,3838707.0,6013719.0,6779699.0,6518798.0,6347905.0,6688654.0,7666667;0,3127717.0,3883206.0,7411503.0,6390697.0,8188383.0,714208.0,6053042.0,7333333;0,3293703.0,2611155.0,2047645.0,6249751.0,6414072.0,691455.0,5760506.0,3666667;0,3576643.0,07723296.0,4926429.0,5601325.0,4826894.0,7910219.0,4951668.0,6333333;0,1040888.0,4690457.0,8270912.0,5501273.0,5967678.0,5098169.0,3119974.0,7666667;0,335555.0,3544998.0,8247401.0,6772233.0,5643557.0,2682895.0,3973288.0,8666667;0,2588376.0,6508247.0,221905.0,7063023.0,5574763.0,721319.0,5644691.1;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,38909.0,3815436.0,02671205.0,4964429.0,5333334;0,8234088.0,5370285.0,03304124.0,6426935.0,6494044.0,682051.0,6042569.1,166667;0,1616708.0,3838707.0,6013719.0,6791629.0,651637.0,6252947.0,6800596.1;0,3127717.0,3883206.0,7411503.0,6353726.0,8254874.0,7195541.0,610561.0,9333333;0,3293703.0,2611155.0,2047645.0,6248877.0,6393787.0,6866547.0,5838466.0,7666667;0,3576643.0,07723296.0,4926429.0,5646177.0,4984714.0,7808231.0,5042173.0,7;0,1040888.0,4690457.0,8270912.0,5668398.0,5716866.0,5306584.0,3286988.0,7666667;0,335555.0,3544998.0,8247401.0,6822711.0,5493743.0,2679591.0,398085.0,8666667;0,2588376.0,6508247.0,221905.0,712084.0,5554922.0,7290037.0,5502018.1;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,38952.0,3839411.0,02581293.0,4932742.0,5666667;0,8234088.0,5370285.0,03304124.0,6412962.0,6502005.0,686059.0,6060638.1,1;0,1616708.0,3838707.0,6013719.0,679899.0,6520889.0,6218077.0,6811724.1,033333;0,3127717.0,3883206.0,7411503.0,6316787.0,8315108.0,7252867.0,6162412.1,066667;0,3293703.0,2611155.0,2047645.0,6229463.0,6444752.0,6836485.0,5883638.0,9666666;0,3576643.0,07723296.0,4926429.0,567179.0,4929885.0,7740288.0,5057289.0,6;0,1040888.0,4690457.0,8270912.0,5757723.0,5445528.0,5620654.0,3318057.0,6666667;0,335555.0,3544998.0,8247401.0,6873566.0,5397708.0,2726907.0,4045383.0,8333333;0,2588376.0,6508247.0,221905.0,712084.0,5554922.0,7290037.0,5502018.1;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,3941619.0,3873574.0,03078357.0,4814546.0,5333334;0,8234088.0,5370285.0,03304124.0,637073.0,6474494.0,6803671.0,6145003.1,066667;0,1616708.0,3838707.0,6013719.0,6800489.0,6517289.0,6212051.0,6836854.1;0,3127717.0,3883206.0,7411503.0,6368566.0,8217767.0,7197756.0,609593.0,9333333;0,3293703.0,2611155.0,2047645.0,62257.0,6440871.0,6807857.0,592939.1,066667;0,3576643.0,07723296.0,4926429.0,567179.0,4929885.0,7740288.0,5057289.0,6;0,1040888.0,4690457.0,8270912.0,5908973.0,5077903.0,5449223.0,3403052.0,5666667;0,335555.0,3544998.0,8247401.0,7020903.0,503211.0,2857704.0,4185227.0,7333333;0,2588376.0,6508247.0,221905.0,712084.0,5554922.0,7290037.0,5502018.1;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,395797.0,3932324.0,03087115.0,4792476.0,5333334;0,8234088.0,5370285.0,03304124.0,6359253.0,652881.0,6749719.0,6191881.1,033333;0,1616708.0,3838707.0,6013719.0,6800489.0,6517289.0,6212051.0,6836854.1;0,3127717.0,3883206.0,7411503.0,6360223.0,8228639.0,7211283.0,6106336.0,9333333;0,3293703.0,2611155.0,2047645.0,6222185.0,6436661.0,6804271.0,5946038.0,9;0,3576643.0,07723296.0,4926429.0,5784652.0,4852512.0,7619123.0,5153433.0,5;0,1040888.0,4690457.0,8270912.0,5864832.0,5154801.0,5334892.0,3356882.0,5;0,335555.0,3544998.0,8247401.0,7045434.0,5067344.0,2949878.0,424766.0,7;0,2588376.0,6508247.0,221905.0,7129371.0,5507755.0,7245429.0,5529144.0,9666666;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,3966944.0,3989996.0,02981921.0,4767861.0,4333333;0,8234088.0,5370285.0,03304124.0,6442176.0,6556766.0,6866962.0,6041715.0,8666667;0,1616708.0,3838707.0,6013719.0,6787669.0,6534248.0,6202013.0,6926318.0,8666667;0,3127717.0,3883206.0,7411503.0,6371197.0,8166187.0,7231359.0,6073828.0,7333333;0,3293703.0,2611155.0,2047645.0,6218447.0,6480559.0,6802052.0,5920528.0,7;0,3576643.0,07723296.0,4926429.0,5817151.0,4801133.0,7563061.0,5297689.0,4666667;0,1040888.0,4690457.0,8270912.0,604363.0,4643709.0,5843429.0,3311835.0,4333333;0,335555.0,3544998.0,8247401.0,7157476.0,4973925.0,3166608.0,4478666.0,6;0,2588376.0,6508247.0,221905.0,7255675.0,5621747.0,7419811.0,5185409.0,8666667;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,397164.0,3988675.0,03081177.0,4767046.0,4;0,8234088.0,5370285.0,03304124.0,6473913.0,6561525.0,6807736.0,6002875.0,8;0,1616708.0,3838707.0,6013719.0,6767704.0,655356.0,6260116.0,688563.0,5333334;0,3127717.0,3883206.0,7411503.0,6398466.0,8146839.0,7183903.0,6095411.0,6;0,3293703.0,2611155.0,2047645.0,6212485.0,6487705.0,6738831.0,6002083.0,5666667;0,3576643.0,07723296.0,4926429.0,5917307.0,5039255.0,7329054.0,5304776.0,4;0,1040888.0,4690457.0,8270912.0,604363.0,4643709.0,5843429.0,3311835.0,4333333;0,335555.0,3544998.0,8247401.0,7287584.0,4805669.0,3287092.0,4760537.0,5;0,2588376.0,6508247.0,221905.0,7422854.0,5299323.0,730844.0,5056282.0,6333333;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,3944432.0,4033754.0,02327542.0,4746701.0,3333333;0,8234088.0,5370285.0,03304124.0,6485449.0,6584214.0,6763182.0,5995578.0,6666667;0,1616708.0,3838707.0,6013719.0,6767008.0,6555566.0,6289798.0,6811194.0,5333334;0,3127717.0,3883206.0,7411503.0,6345247.0,8217002.0,7261721.0,6174532.0,5333334;0,3293703.0,2611155.0,2047645.0,6192932.0,6492011.0,6729034.0,6070376.0,5333334;0,3576643.0,07723296.0,4926429.0,6021711.0,4699056.0,7297655.0,5848235.0,3333333;0,1040888.0,4690457.0,8270912.0,6053153.0,4679937.0,5813576.0,3298948.0,4666667;0,335555.0,3544998.0,8247401.0,7378095.0,5104693.0,3511088.0,4892837.0,4666667;0,2588376.0,6508247.0,221905.0,7513953.0,5047942.0,7557977.0,5054356.0,5;1,314286;0,1486929;30;0;
